(782.25f, 0.0f, -657.5f)
(793.75f, 0.0f, -657.5f)
(798.25f, 0.0f, -657.5f)
(802.75f, 0.0f, -657.5f)
(807.25f, 0.0f, -657.5f)
(811.75f, 0.0f, -657.5f)
(816.25f, 0.0f, -657.5f)
(827.75f, 0.0f, -657.5f)
(832.25f, 0.0f, -657.5f)
(836.75f, 0.0f, -657.5f)
(841.25f, 0.0f, -657.5f)
(845.75f, 0.0f, -657.5f)
(850.25f, 0.0f, -657.5f)
(861.75f, 0.0f, -657.5f)
(866.25f, 0.0f, -657.5f)
(870.75f, 0.0f, -657.5f)
(875.25f, 0.0f, -657.5f)
(879.75f, 0.0f, -657.5f)
(884.25f, 0.0f, -657.5f)
(895.75f, 0.0f, -657.5f)
(900.25f, 0.0f, -657.5f)
(904.75f, 0.0f, -657.5f)
(909.25f, 0.0f, -657.5f)
(913.75f, 0.0f, -657.5f)
(918.25f, 0.0f, -657.5f)
(929.75f, 0.0f, -657.5f)
(934.25f, 0.0f, -657.5f)
(938.75f, 0.0f, -657.5f)
(943.25f, 0.0f, -657.5f)
(947.75f, 0.0f, -657.5f)
(952.25f, 0.0f, -657.5f)
(963.75f, 0.0f, -657.5f)
(968.25f, 0.0f, -657.5f)
(972.75f, 0.0f, -657.5f)
(977.25f, 0.0f, -657.5f)
(981.75f, 0.0f, -657.5f)
(986.25f, 0.0f, -657.5f)
(997.75f, 0.0f, -657.5f)
(1002.25f, 0.0f, -657.5f)
(1006.75f, 0.0f, -657.5f)
(1011.25f, 0.0f, -657.5f)
(1015.75f, 0.0f, -657.5f)
(1020.25f, 0.0f, -657.5f)
(1031.75f, 0.0f, -657.5f)
(1036.25f, 0.0f, -657.5f)
(1040.75f, 0.0f, -657.5f)
(1045.25f, 0.0f, -657.5f)
(1049.75f, 0.0f, -657.5f)
(1054.25f, 0.0f, -657.5f)
(1065.75f, 0.0f, -657.5f)
(1070.25f, 0.0f, -657.5f)
(1074.75f, 0.0f, -657.5f)
(1079.25f, 0.0f, -657.5f)
(1083.75f, 0.0f, -657.5f)
(1088.25f, 0.0f, -657.5f)
(1099.75f, 0.0f, -657.5f)
(1104.25f, 0.0f, -657.5f)
(1108.75f, 0.0f, -657.5f)
(1113.25f, 0.0f, -657.5f)
(1117.75f, 0.0f, -657.5f)
(1122.25f, 0.0f, -657.5f)
(1133.75f, 0.0f, -657.5f)
(1138.25f, 0.0f, -657.5f)
(1142.75f, 0.0f, -657.5f)
(1147.25f, 0.0f, -657.5f)
(1151.75f, 0.0f, -657.5f)
(1156.25f, 0.0f, -657.5f)
(1167.75f, 0.0f, -657.5f)
(1172.25f, 0.0f, -657.5f)
(1176.75f, 0.0f, -657.5f)
(1181.25f, 0.0f, -657.5f)
(1185.75f, 0.0f, -657.5f)
(1190.25f, 0.0f, -657.5f)
(1201.75f, 0.0f, -657.5f)
(1206.25f, 0.0f, -657.5f)
(1210.75f, 0.0f, -657.5f)
(1215.25f, 0.0f, -657.5f)
(1219.75f, 0.0f, -657.5f)
(1224.25f, 0.0f, -657.5f)
(1235.75f, 0.0f, -657.5f)
(1240.25f, 0.0f, -657.5f)
(1244.75f, 0.0f, -657.5f)
(1249.25f, 0.0f, -657.5f)
(1253.75f, 0.0f, -657.5f)
