437.75,0.00,-657.50 437.75,0.00,-671.25 b 20
442.25,0.00,-657.50 442.25,0.00,-671.25 b 20
453.75,0.00,-657.50 453.75,0.00,-671.25 b 20
458.25,0.00,-657.50 458.25,0.00,-671.25 b 20
462.75,0.00,-657.50 462.75,0.00,-671.25 b 20
467.25,0.00,-657.50 467.25,0.00,-671.25 b 20
471.75,0.00,-657.50 471.75,0.00,-671.25 b 20
476.25,0.00,-657.50 476.25,0.00,-671.25 b 20
487.75,0.00,-657.50 487.75,0.00,-671.25 b 20
492.25,0.00,-657.50 492.25,0.00,-671.25 b 20
496.75,0.00,-657.50 496.75,0.00,-671.25 b 20
501.25,0.00,-657.50 501.25,0.00,-671.25 b 20
505.75,0.00,-657.50 505.75,0.00,-671.25 b 20
510.25,0.00,-657.50 510.25,0.00,-671.25 b 20
521.75,0.00,-657.50 521.75,0.00,-671.25 b 20
526.25,0.00,-657.50 526.25,0.00,-671.25 b 20
530.75,0.00,-657.50 530.75,0.00,-671.25 b 20
535.25,0.00,-657.50 535.25,0.00,-671.25 b 20
539.75,0.00,-657.50 539.75,0.00,-671.25 b 20
544.25,0.00,-657.50 544.25,0.00,-671.25 b 20
555.75,0.00,-657.50 555.75,0.00,-671.25 b 20
560.25,0.00,-657.50 560.25,0.00,-671.25 b 20
564.75,0.00,-657.50 564.75,0.00,-671.25 b 20
569.25,0.00,-657.50 569.25,0.00,-671.25 b 20
573.75,0.00,-657.50 573.75,0.00,-671.25 b 20
578.25,0.00,-657.50 578.25,0.00,-671.25 b 20
589.75,0.00,-657.50 589.75,0.00,-671.25 b 20
594.25,0.00,-657.50 594.25,0.00,-671.25 b 20
598.75,0.00,-657.50 598.75,0.00,-671.25 b 20
603.25,0.00,-657.50 603.25,0.00,-671.25 b 20
607.75,0.00,-657.50 607.75,0.00,-671.25 b 20
612.25,0.00,-657.50 612.25,0.00,-671.25 b 20
623.75,0.00,-657.50 623.75,0.00,-671.25 b 20
628.25,0.00,-657.50 628.25,0.00,-671.25 b 20
632.75,0.00,-657.50 632.75,0.00,-671.25 b 20
637.25,0.00,-657.50 637.25,0.00,-671.25 b 20
641.75,0.00,-657.50 641.75,0.00,-671.25 b 20
646.25,0.00,-657.50 646.25,0.00,-671.25 b 20
657.75,0.00,-657.50 657.75,0.00,-671.25 b 20
662.25,0.00,-657.50 662.25,0.00,-671.25 b 20
666.75,0.00,-657.50 666.75,0.00,-671.25 b 20
671.25,0.00,-657.50 671.25,0.00,-671.25 b 20
675.75,0.00,-657.50 675.75,0.00,-671.25 b 20
680.25,0.00,-657.50 680.25,0.00,-671.25 b 20
691.75,0.00,-657.50 691.75,0.00,-671.25 b 20
696.25,0.00,-657.50 696.25,0.00,-671.25 b 20
700.75,0.00,-657.50 700.75,0.00,-671.25 b 20
705.25,0.00,-657.50 705.25,0.00,-671.25 b 20
709.75,0.00,-657.50 709.75,0.00,-671.25 b 20
714.25,0.00,-657.50 714.25,0.00,-671.25 b 20
725.75,0.00,-657.50 725.75,0.00,-671.25 b 20
730.25,0.00,-657.50 730.25,0.00,-671.25 b 20
734.75,0.00,-657.50 734.75,0.00,-671.25 b 20
739.25,0.00,-657.50 739.25,0.00,-671.25 b 20
743.75,0.00,-657.50 743.75,0.00,-671.25 b 20
748.25,0.00,-657.50 748.25,0.00,-671.25 b 20
759.75,0.00,-657.50 759.75,0.00,-671.25 b 20
764.25,0.00,-657.50 764.25,0.00,-671.25 b 20
768.75,0.00,-657.50 768.75,0.00,-671.25 b 20
773.25,0.00,-657.50 773.25,0.00,-671.25 b 20
777.75,0.00,-657.50 777.75,0.00,-671.25 b 20
782.25,0.00,-657.50 782.25,0.00,-671.25 b 20
793.75,0.00,-657.50 793.75,0.00,-671.25 b 20
798.25,0.00,-657.50 798.25,0.00,-671.25 b 20
802.75,0.00,-657.50 802.75,0.00,-671.25 b 20
807.25,0.00,-657.50 807.25,0.00,-671.25 b 20
811.75,0.00,-657.50 811.75,0.00,-671.25 b 20
816.25,0.00,-657.50 816.25,0.00,-671.25 b 20
827.75,0.00,-657.50 827.75,0.00,-671.25 b 20
832.25,0.00,-657.50 832.25,0.00,-671.25 b 20
836.75,0.00,-657.50 836.75,0.00,-671.25 b 20
841.25,0.00,-657.50 841.25,0.00,-671.25 b 20
845.75,0.00,-657.50 845.75,0.00,-671.25 b 20
850.25,0.00,-657.50 850.25,0.00,-671.25 b 20
861.75,0.00,-657.50 861.75,0.00,-671.25 b 20
866.25,0.00,-657.50 866.25,0.00,-671.25 b 20
